punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
PASO DE LOS ANDES,7502,Interseccion,500070608,949,349,16,165,115,37,106,44,170,31,109,364,31,862,44,3,0,1,17,-68.85713344,-32.87914417
OLASCOAGA LAURENTINO CNEL,7512,Interseccion,500070607,794,297,32,104,127,19,122,21,175,38,88,265,24,736,27,0,0,8,27,-68.85150195,-32.87914663
CAMINO A PAPAGALLOS,7524,Interseccion,500071310,5,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,0,-68.88128593,-32.87930626
CAMINO A PAPAGALLOS,7525,Interseccion,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,0,-68.88199493,-32.87916863
VIDELA CASTILLO,7530,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,12,-68.82808909,-32.87912566
PALACIOS PEDRO BENJAMIN,7540,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,7,-68.82721275,-32.87917855
VIDELA RICARDO GDOR,7548,Interseccion,500281001,990,314,31,218,119,42,268,52,332,43,64,112,3,889,50,2,0,6,7,-68.82710587,-32.87918742
SERU PJE,7554,Interseccion,500070607,794,297,32,104,127,19,122,21,175,38,88,265,24,736,27,0,0,8,23,-68.85106369,-32.87922726
INGENIEROS JOSE,7565,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.87387812,-32.87927939
25 DE MAYO,7568,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,26,-68.84448109,-32.87925531
BENEGAS TIBURCIO,7579,Interseccion,500070607,794,297,32,104,127,19,122,21,175,38,88,265,24,736,27,0,0,8,18,-68.85060404,-32.87931688
VIDELA JUAN DE DIOS,7589,Interseccion,500070608,949,349,16,165,115,37,106,44,170,31,109,364,31,862,44,3,0,1,19,-68.85618209,-32.87933243
CHILE,7595,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,30,-68.84317709,-32.87943402
GRANADEROS,7607,Interseccion,500070607,794,297,32,104,127,19,122,21,175,38,88,265,24,736,27,0,0,8,15,-68.85501695,-32.87955651
MITRE BARTOLOME GRAL AV,7622,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,30,-68.84193728,-32.87956772
MITRE BARTOLOME GRAL AV,7633,Interseccion,500070105,571,266,29,77,104,18,65,24,146,18,68,203,6,534,21,0,0,1,29,-68.84175559,-32.87958552
CAMINO A PAPAGALLOS,7644,Interseccion,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,0,-68.91247542,-32.87970009
DE SAN MARTIN JOSE GRAL AV,7649,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,55,-68.83652995,-32.879687
DE ESCALADA DE SAN MARTIN R,7653,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,56,-68.83625207,-32.87971369
PLAZA HILARION CNEL,7665,Interseccion,500070105,571,266,29,77,104,18,65,24,146,18,68,203,6,534,21,0,0,1,21,-68.84056917,-32.8797373
