ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
I70;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;0;N/A;N/A;-68,86409873;-32,8636249;143
I71;500491118;Intersercción;821;210;36;230;61;50;285;68;226;73;17;28;1;702;72;10;2;2;0;N/A;N/A;-68,86424186;-32,86363398;144
I72;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;1;Residencial urbano;Urbano;-68,86112486;-32,86358548;145
I73;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;1;Residencial urbano;Urbano;-68,86169908;-32,86361767;146
I74;500070702;Intersercción;1018;346;46;182;195;40;216;27;274;39;137;208;14;922;58;2;0;2;12;Residencial urbano;Urbano;-68,83381365;-32,86360628;147
I75;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;1;Residencial urbano;Urbano;-68,86227597;-32,86364987;148
I76;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;8;Comercial;Altamente urbano;-68,84205099;-32,86365302;149
I77;500491118;Intersercción;821;210;36;230;61;50;285;68;226;73;17;28;1;702;72;10;2;2;1;N/A;N/A;-68,86527012;-32,8636892;150
I78;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;10;Comercial;Altamente urbano;-68,84314073;-32,86367242;151
I79;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;10;Residencial urbano;Urbano;-68,84388859;-32,86369139;152
I80;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;1;Residencial urbano;Urbano;-68,86350186;-32,86371884;153
I81;500491118;Intersercción;821;210;36;230;61;50;285;68;226;73;17;28;1;702;72;10;2;2;2;N/A;N/A;-68,86602864;-32,86372608;154
I82;500491118;Intersercción;821;210;36;230;61;50;285;68;226;73;17;28;1;702;72;10;2;2;2;N/A;N/A;-68,8660687;-32,86372612;155
I83;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;10;Comercial;Altamente urbano;-68,84315137;-32,86369949;156
I84;500070702;Intersercción;1018;346;46;182;195;40;216;27;274;39;137;208;14;922;58;2;0;2;6;Residencial urbano;Urbano;-68,83517038;-32,86368923;157
I85;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;1;Residencial urbano;Urbano;-68,86412414;-32,86376009;158
I86;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;10;Residencial urbano;Urbano;-68,84388843;-32,86378156;159
I87;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;2;Residencial urbano;Urbano;-68,86606055;-32,86381628;160
I88;500491117;Intersercción;1478;370;75;408;184;61;613;130;373;62;39;42;0;1283;112;12;0;7;1;N/A;N/A;-68,86792757;-32,8638363;161
I89;500491117;Intersercción;1478;370;75;408;184;61;613;130;373;62;39;42;0;1283;112;12;0;7;0;N/A;N/A;-68,86851516;-32,86386397;162
I90;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;6;Residencial urbano;Urbano;-68,84554437;-32,86383772;163
