SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89607,-32.89038,"-68,89607-32,89038",10536,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89606,-32.89039,"-68,89606-32,89039",10537,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89595,-32.89046,"-68,89595-32,89046",10572,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89533,-32.89035,"-68,89533-32,89035",10575,0
8va Seccion Aeroparque,Residencial urbano,Urbano,,8,Aeroparque,500491109,668,196,15,212,35,46,88,49,88,26,73,196,38,562,62,2,38,87,,,,-68.88007,-32.86528,"-68,88007-32,86528",987,3.82649
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,0.837,10,Residencial Los Cerros,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,,,,-68.89019,-32.86532,"-68,89019-32,86532",1015,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.88636,-32.8833,"-68,88636-32,8833",8458,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.87327,-32.88455,"-68,87327-32,88455",8720,0
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86443,-32.86538,"-68,86443-32,86538",1041,8.64938
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.87665,-32.89174,"-68,87665-32,89174",11057,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.88353,-32.89143,"-68,88353-32,89143",10922,0
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,29.117,10,Residencial Los Cerros,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,,,,-68.88456,-32.86543,"-68,88456-32,86543",1084,0.51681
,,,29.117,,,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,,,,-68.88371,-32.86524,"-68,88371-32,86524",1086,0.66514
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89036,-32.89204,"-68,89036-32,89204",11214,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89191,-32.89191,"-68,89191-32,89191",11138,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89396,-32.89249,"-68,89396-32,89249",11296,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.88461,-32.89259,"-68,88461-32,89259",11317,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89084,-32.89181,"-68,89084-32,89181",11095,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77.496,6,Residencial Norte,500071112,510,174,17,76,90,12,51,14,110,20,59,212,7,478,16,0,0,1,,,,-68.85668,-32.86568,"-68,85668-32,86568",1220,2.10566
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86037,-32.86562,"-68,86037-32,86562",1231,0
,Comercial,Altamente urbano,,4,Cuarta Oeste,500490915,958,287,37,207,143,29,174,82,276,73,69,182,2,868,45,3,0,7,,,,-68.83288,-32.86574,"-68,83288-32,86574",1252,14.80648
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,29.117,10,Residencial Los Cerros,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,,,,-68.88657,-32.86586,"-68,88657-32,86586",1285,2.05805
